                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.8491,                 3.6138,                 4.2499,                0.00545,                0.05673,                 0.0029,                0.00078,                 3.7699,                 3.6423,                 4.1596,                 0.0946,                 0.0006,                 0.0006
                      2,                 4.7836,                 3.4891,                 4.1976,                 0.0113,                0.16095,                0.00658,                0.00178,                 3.7206,                 3.3614,                  4.095,               0.088298,              0.0012979,              0.0012979
                      3,                 4.4787,                 3.1084,                 4.0912,                0.01639,                0.23351,                 0.0102,                0.00425,                 3.6701,                 3.1336,                 4.0141,               0.081993,              0.0019934,              0.0019934
                      4,                 4.4465,                  2.739,                 3.9006,                0.01667,                0.23747,                0.01041,                0.00453,                  3.653,                 2.8848,                 3.9414,               0.075687,              0.0026866,              0.0026866
                      5,                 3.9874,                 2.5121,                 3.6844,                0.02556,                0.36412,                0.01969,                0.00797,                 3.6679,                 2.8929,                 3.9028,               0.069378,              0.0033776,              0.0033776
                      6,                 3.4904,                 2.3691,                 3.3543,                0.03074,                0.43799,                0.02716,                0.01144,                 3.6766,                 3.0449,                 3.8932,               0.063066,              0.0040662,              0.0040662
                      7,                 3.1725,                 2.1133,                 3.0663,                0.03139,                0.44723,                0.03054,                0.01197,                 3.6798,                 3.1871,                 3.8805,               0.056752,              0.0047525,              0.0047525
                      8,                 2.7951,                 1.9338,                 2.8314,                0.03843,                0.54749,                0.04438,                0.01192,                 3.4468,                 3.0689,                 3.7311,               0.050436,              0.0054365,              0.0054365
                      9,                 2.5295,                 1.6877,                 2.5773,                0.53879,                0.35909,                0.40863,                0.14685,                 2.3237,                 2.1316,                 2.8307,               0.044118,              0.0061182,              0.0061182
                     10,                 2.4109,                  1.531,                 2.4035,                0.60591,                0.62474,                0.53574,                0.21401,                 2.2711,                  1.676,                 2.5974,               0.037798,              0.0067975,              0.0067975
                     11,                 2.2418,                 1.3047,                 2.1762,                0.65059,                0.40633,                0.47002,                0.18895,                 2.7242,                 1.6959,                 3.1023,               0.031475,              0.0074746,              0.0074746
                     12,                  2.087,                 1.2477,                 2.0653,                0.54137,                0.25384,                0.29082,                0.13643,                  3.008,                 2.2388,                 4.0145,               0.025149,              0.0081494,              0.0081494
                     13,                 1.9625,                 1.1356,                 1.8874,                0.56656,                0.25004,                0.30677,                0.11551,                 2.5867,                 2.8666,                 3.2222,               0.018822,              0.0088218,              0.0088218
                     14,                 1.8815,                 1.0368,                  1.814,                0.50752,                0.22032,                0.28044,                0.10882,                 2.5451,                 2.6814,                 2.7493,               0.012492,              0.0094919,              0.0094919
                     15,                 1.8586,                 1.0178,                 1.7299,                 0.7522,                0.48153,                 0.6031,                0.31189,                 2.0732,                 1.8483,                  2.237,               0.009769,               0.009769,               0.009769
                     16,                 1.8875,                 1.0461,                 1.7402,                0.76863,                0.57256,                0.69733,                0.36952,                 1.7434,                 1.4991,                 2.0172,              0.0097525,              0.0097525,              0.0097525
                     17,                 1.7806,                 1.0345,                 1.6683,                 0.5479,                0.55541,                0.53275,                0.23234,                 2.1817,                 1.6609,                 2.4049,               0.009736,               0.009736,               0.009736
                     18,                 1.7225,                0.96201,                 1.6123,                0.71844,                0.67662,                0.79266,                0.40408,                  1.797,                  1.223,                 2.0267,              0.0097195,              0.0097195,              0.0097195
                     19,                  1.704,                0.96885,                 1.5708,                0.83002,                0.79551,                0.88941,                 0.4866,                 1.6345,                0.98619,                 1.7976,               0.009703,               0.009703,               0.009703
                     20,                 1.6698,                0.92178,                 1.5397,                0.78226,                0.81003,                0.87659,                0.50671,                 1.4957,                0.97836,                 1.6983,              0.0096865,              0.0096865,              0.0096865
                     21,                 1.6089,                0.87172,                  1.479,                 0.8742,                0.81591,                0.90561,                0.47386,                 1.7165,                0.95682,                  1.961,                0.00967,                0.00967,                0.00967
                     22,                 1.6105,                0.86818,                 1.5001,                0.88773,                0.84493,                 0.9217,                 0.5432,                 1.4613,                0.89107,                 1.6954,              0.0096535,              0.0096535,              0.0096535
                     23,                 1.6438,                0.88674,                 1.5214,                0.90829,                 0.8628,                0.94321,                0.55377,                 1.4061,                 0.8504,                 1.6333,               0.009637,               0.009637,               0.009637
                     24,                 1.5457,                0.83632,                 1.4438,                0.89634,                0.90124,                 0.9552,                0.58762,                 1.3531,                0.85618,                 1.5814,              0.0096205,              0.0096205,              0.0096205
                     25,                 1.5437,                0.83399,                 1.4344,                0.77994,                0.65461,                0.75479,                0.42966,                 1.5702,                 1.1624,                 1.7279,               0.009604,               0.009604,               0.009604
                     26,                 1.5141,                0.82455,                 1.4175,                0.90047,                0.84741,                0.92962,                0.55166,                 1.4061,                0.90512,                 1.6136,              0.0095875,              0.0095875,              0.0095875
                     27,                 1.4878,                0.79711,                 1.4225,                0.90339,                0.84433,                0.91206,                0.52535,                 1.4945,                0.87945,                 1.6712,               0.009571,               0.009571,               0.009571
                     28,                 1.5314,                0.79918,                 1.4322,                0.94441,                0.89648,                0.96094,                0.58063,                 1.3837,                 0.7615,                 1.6006,              0.0095545,              0.0095545,              0.0095545
                     29,                 1.4929,                0.77269,                 1.4068,                0.94577,                0.87731,                 0.9597,                 0.5827,                 1.3688,                 0.7474,                 1.5886,               0.009538,               0.009538,               0.009538
                     30,                 1.4375,                0.74884,                 1.3579,                0.93061,                0.90765,                 0.9618,                0.58971,                 1.3414,                 0.7462,                  1.567,              0.0095215,              0.0095215,              0.0095215
                     31,                 1.4507,                0.72133,                 1.3221,                0.90106,                0.85356,                0.92781,                0.58355,                 1.3033,                0.78698,                  1.526,               0.009505,               0.009505,               0.009505
                     32,                 1.4426,                0.72514,                 1.3267,                0.92898,                0.86282,                0.93902,                0.56571,                 1.3932,                0.75951,                 1.6043,              0.0094885,              0.0094885,              0.0094885
                     33,                 1.4433,                0.71408,                 1.2943,                0.95737,                0.93668,                0.97057,                0.61359,                 1.3363,                0.67759,                 1.5526,               0.009472,               0.009472,               0.009472
                     34,                 1.4323,                0.72031,                 1.3466,                0.94415,                0.91821,                0.96742,                0.61847,                 1.3073,                0.69941,                 1.5352,              0.0094555,              0.0094555,              0.0094555
                     35,                  1.391,                0.71825,                  1.313,                0.95579,                0.94119,                0.97888,                0.62797,                 1.2977,                0.64333,                 1.5156,               0.009439,               0.009439,               0.009439
                     36,                 1.3854,                0.69869,                 1.3073,                0.93793,                0.87707,                0.94001,                0.58446,                 1.3437,                0.76107,                 1.5531,              0.0094225,              0.0094225,              0.0094225
                     37,                 1.3736,                 0.6677,                 1.2827,                0.94163,                0.91515,                0.97233,                0.61396,                  1.287,                0.68463,                 1.4993,               0.009406,               0.009406,               0.009406
                     38,                 1.3422,                0.66124,                  1.289,                0.93005,                0.82322,                0.91787,                0.54008,                   1.48,                0.77473,                 1.6389,              0.0093895,              0.0093895,              0.0093895
                     39,                 1.3502,                0.66799,                 1.3047,                0.92396,                0.92977,                0.96673,                0.60204,                 1.3322,                0.68459,                 1.5362,               0.009373,               0.009373,               0.009373
                     40,                 1.3559,                0.65647,                 1.2825,                0.93977,                0.90106,                0.96656,                0.60759,                 1.2753,                0.68509,                 1.4943,              0.0093565,              0.0093565,              0.0093565
                     41,                 1.3336,                0.65909,                 1.2718,                0.88243,                0.84828,                0.91403,                0.56787,                 1.3811,                0.83727,                 1.5392,                0.00934,                0.00934,                0.00934
                     42,                  1.366,                0.65082,                   1.26,                0.95339,                0.93931,                 0.9785,                0.63699,                 1.2427,                0.58448,                 1.4716,              0.0093235,              0.0093235,              0.0093235
                     43,                 1.3522,                0.64588,                  1.257,                0.95597,                0.93536,                0.97811,                0.60873,                 1.3113,                0.64417,                 1.5126,               0.009307,               0.009307,               0.009307
                     44,                 1.3238,                  0.637,                 1.2667,                0.95128,                0.95315,                0.98014,                0.61036,                 1.3275,                0.58709,                 1.5597,              0.0092905,              0.0092905,              0.0092905
                     45,                  1.321,                0.62705,                 1.2764,                0.94594,                0.94987,                0.98106,                0.63583,                 1.2477,                0.58648,                 1.4961,               0.009274,               0.009274,               0.009274
                     46,                 1.3021,                 0.6156,                 1.2373,                0.94475,                0.94755,                0.97979,                0.64421,                 1.2386,                 0.5831,                  1.472,              0.0092575,              0.0092575,              0.0092575
                     47,                 1.3307,                0.62547,                 1.2443,                0.94941,                0.94195,                0.97618,                 0.6227,                 1.2647,                0.61093,                  1.522,               0.009241,               0.009241,               0.009241
                     48,                 1.2852,                0.60237,                 1.2293,                 0.9616,                0.95803,                0.98346,                 0.6489,                 1.2234,                0.55727,                 1.4685,              0.0092245,              0.0092245,              0.0092245
                     49,                 1.2779,                0.60498,                 1.2716,                0.95102,                0.91293,                0.96991,                0.60728,                 1.2891,                0.63537,                 1.5184,               0.009208,               0.009208,               0.009208
