                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1169,                 4.2792,                 4.1598,                0.00545,                0.05673,                 0.0029,                0.00078,                 2.8251,                 4.0607,                  4.156,                 0.0946,                 0.0006,                 0.0006
                      2,                 3.2044,                 4.0712,                 4.1162,                 0.0055,                0.05673,                0.00292,                0.00079,                 2.7213,                 3.6152,                 4.0352,               0.088298,              0.0012979,              0.0012979
                      3,                 3.1497,                 3.6031,                  3.999,                0.00481,                 0.0686,                0.00262,                0.00071,                 2.6769,                 3.6285,                 3.9343,               0.081993,              0.0019934,              0.0019934
                      4,                 3.2309,                 3.4108,                  3.903,                0.00713,                0.10158,                0.00403,                0.00158,                 2.6511,                 3.4689,                 3.8671,               0.075687,              0.0026866,              0.0026866
                      5,                 3.1951,                 3.3222,                 3.7991,                0.00704,                0.10026,                0.00398,                0.00151,                 2.6395,                 3.4035,                 3.8155,               0.069378,              0.0033776,              0.0033776
                      6,                 3.2544,                 3.4296,                 3.7801,                0.00704,                0.10026,                0.00398,                 0.0015,                  2.634,                 3.3972,                  3.795,               0.063066,              0.0040662,              0.0040662
                      7,                 3.0733,                  3.265,                 3.6743,                0.00676,                0.09631,                0.00374,                0.00142,                 2.6231,                 3.4194,                 3.7616,               0.056752,              0.0047525,              0.0047525
                      8,                 2.8783,                 3.1152,                 3.5798,                0.00731,                0.10422,                0.00408,                0.00185,                 2.6174,                 3.4621,                 3.7256,               0.050436,              0.0054365,              0.0054365
                      9,                 2.8049,                  2.922,                 3.4456,                0.00574,                0.08179,                0.00319,                0.00105,                  2.635,                 3.5146,                 3.7313,               0.044118,              0.0061182,              0.0061182
                     10,                  2.712,                 2.6701,                  3.217,                0.01824,                0.25989,                0.01258,                0.00503,                 2.6727,                 3.2857,                 3.7875,               0.037798,              0.0067975,              0.0067975
                     11,                 2.6477,                 2.4624,                 3.0723,                 0.3204,                0.20449,                0.24795,                0.12033,                 2.5224,                  2.704,                 3.4208,               0.031475,              0.0074746,              0.0074746
                     12,                  2.565,                 2.2079,                 2.8473,                0.10917,                0.62401,                0.13033,                 0.0519,                 2.6999,                    inf,                 4.3015,               0.025149,              0.0081494,              0.0081494
                     13,                 2.5344,                 1.9974,                 2.7104,                0.03576,                0.50923,                0.02878,                0.01224,                 2.4621,                    inf,                 29.198,               0.018822,              0.0088218,              0.0088218
                     14,                 2.4854,                 1.9711,                 2.6047,                0.01917,                0.27309,                0.01954,                0.00853,                 2.3836,                    inf,                 38.779,               0.012492,              0.0094919,              0.0094919
